Location,Latitude,Longitude,Facility Type,Facility Size,Technology Level,Crop,Evapotranspiration (L/year),Annual Water Consumption (L/year),Annual Energy Consumption (MWh/year),Annual CO2 Emissions (kg CO2-eq/year)
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Roses,836677.3792,836677.3792,43.66296,17146.44439
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Lettuce,1084494.521,1084494.521,43.66296,17146.44439
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Spinach,1092915.206,1092915.206,43.66296,17146.44439
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Broccoli,1083096.666,1083096.666,43.66296,17146.44439
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Basil,995126.6643,995126.6643,43.66296,17146.44439
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Tomatoes,1441293.988,1441293.988,43.66296,17146.44439
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Bell peppers,1263910.491,1263910.491,43.66296,17146.44439
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Zucchini,1034739.818,1034739.818,43.66296,17146.44439
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Strawberries,918959.999,918959.999,43.66296,17146.44439
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,Low-tech,Roses,404555.5631,404555.5631,48.24864,18947.24093
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,Low-tech,Lettuce,525775.4315,525775.4315,48.24864,18947.24093
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,Low-tech,Spinach,529655.4248,529655.4248,48.24864,18947.24093
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,Low-tech,Broccoli,526174.8546,526174.8546,48.24864,18947.24093
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,Low-tech,Basil,481168.0987,481168.0987,48.24864,18947.24093
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,Low-tech,Tomatoes,694357.9919,694357.9919,48.24864,18947.24093
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,Low-tech,Bell peppers,610029.4397,610029.4397,48.24864,18947.24093
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,Low-tech,Zucchini,501546.9225,501546.9225,48.24864,18947.24093
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,Low-tech,Strawberries,445672.5196,445672.5196,48.24864,18947.24093
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,High-tech,Roses,416425.7935,832851.5869,280.1064949,101284.7039
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,High-tech,Lettuce,538904.6997,1077809.399,226.9431041,85889.22602
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,High-tech,Spinach,543195.4644,1086390.929,225.3793149,84712.80785
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,High-tech,Broccoli,537613.4166,1075226.833,245.6924287,94897.78418
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,High-tech,Basil,495236.999,990473.9981,260.3800718,96195.34464
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,High-tech,Tomatoes,718753.6858,1437507.372,318.9898152,104445.0982
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,High-tech,Bell peppers,629629.5526,1259259.105,264.8474686,92129.18201
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,High-tech,Zucchini,514236.7651,1028473.53,223.1858106,84115.38044
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,High-tech,Strawberries,456539.3747,913078.7494,285.5507639,111062.3848
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Medium,Low-tech,Roses,707972.2354,707972.2354,94.59,37145.493
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Medium,Low-tech,Lettuce,920107.005,920107.005,94.59,37145.493
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Medium,Low-tech,Spinach,926896.9934,926896.9934,94.59,37145.493
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Medium,Low-tech,Broccoli,920805.9955,920805.9955,94.59,37145.493
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Medium,Low-tech,Basil,842044.1728,842044.1728,94.59,37145.493
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Medium,Low-tech,Tomatoes,1215126.486,1215126.486,94.59,37145.493
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Medium,Low-tech,Bell peppers,1067551.519,1067551.519,94.59,37145.493
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Medium,Low-tech,Zucchini,877707.1143,877707.1143,94.59,37145.493
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Medium,Low-tech,Strawberries,779926.9093,779926.9093,94.59,37145.493
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Medium,High-tech,Roses,728745.1385,1457490.277,469.2122905,170200.4527
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Medium,High-tech,Lettuce,943083.2244,1886166.449,384.1573689,145625.984
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Medium,High-tech,Spinach,950592.0628,1901184.126,381.8020814,143796.3958
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Medium,High-tech,Broccoli,940823.4791,1881646.958,413.5497891,159838.7403
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Medium,High-tech,Basil,866664.7483,1733329.497,437.6026836,162116.0035
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Medium,High-tech,Tomatoes,1257818.95,2515637.9,534.8226921,176449.7806
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Medium,High-tech,Bell peppers,1101851.717,2203703.434,446.7087502,156242.5599
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Medium,High-tech,Zucchini,899914.339,1799828.678,377.9517634,142709.3861
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Medium,High-tech,Strawberries,798943.9057,1597887.811,478.4922167,186335.5877
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Large,Low-tech,Roses,1011388.908,1011388.908,60.3108,23684.05116
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Large,Low-tech,Lettuce,1314438.579,1314438.579,60.3108,23684.05116
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Large,Low-tech,Spinach,1324138.562,1324138.562,60.3108,23684.05116
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Large,Low-tech,Broccoli,1315437.136,1315437.136,60.3108,23684.05116
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Large,Low-tech,Basil,1202920.247,1202920.247,60.3108,23684.05116
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Large,Low-tech,Tomatoes,1735894.98,1735894.98,60.3108,23684.05116
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Large,Low-tech,Bell peppers,1525073.599,1525073.599,60.3108,23684.05116
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Large,Low-tech,Zucchini,1253867.306,1253867.306,60.3108,23684.05116
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Large,Low-tech,Strawberries,1114181.299,1114181.299,60.3108,23684.05116
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Large,High-tech,Roses,1041064.484,2082128.967,572.797945,205763.6152
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Large,High-tech,Lettuce,1347261.749,2694523.498,457.3054676,172432.8372
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Large,High-tech,Spinach,1357988.661,2715977.322,454.2004853,169980.6727
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Large,High-tech,Broccoli,1344033.542,2688067.083,496.9155706,191640.2983
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Large,High-tech,Basil,1238092.498,2476184.995,529.8796081,194843.7934
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Large,High-tech,Tomatoes,1796884.214,3593768.429,664.471638,215134.9618
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Large,High-tech,Bell peppers,1574073.881,3148147.763,543.6241545,187300.1514
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Large,High-tech,Zucchini,1285591.913,2571183.826,448.7032737,168401.3068
"Miami, Florida",25.7741728,-80.19362,Greenhouse,Large,High-tech,Strawberries,1141348.437,2282696.873,586.7357519,228332.1705
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Small,High-tech,Roses,129303.5118,161629.3898,2738.889864,1075562.05
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Small,High-tech,Lettuce,168651.5677,210814.4596,1699.106689,667239.197
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Small,High-tech,Spinach,169746.1149,212182.6436,1610.385432,632398.359
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Small,High-tech,Broccoli,169480.4348,211850.5435,1859.6604,730288.6393
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Small,High-tech,Basil,153616.3655,192020.4569,2643.76865,1038207.949
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Small,High-tech,Tomatoes,220243.8608,275304.8261,2351.486717,923428.8337
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Small,High-tech,Bell peppers,194099.9336,242624.917,2178.406534,855460.2458
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Small,High-tech,Zucchini,160800.4203,201000.5254,1604.267576,629995.8771
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Small,High-tech,Strawberries,142975.0919,178718.8648,3176.45151,1247392.508
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Medium,High-tech,Roses,226281.1457,282851.4321,4774.819161,1875071.484
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Medium,High-tech,Lettuce,295140.2434,368925.3043,2940.946481,1154909.683
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Medium,High-tech,Spinach,297055.701,371319.6263,2782.76667,1092792.471
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Medium,High-tech,Broccoli,296590.7608,370738.4511,3213.196975,1261822.452
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Medium,High-tech,Basil,268828.6397,336035.7996,4602.658522,1807464.002
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Medium,High-tech,Tomatoes,385426.7565,481783.4456,4074.076339,1599889.778
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Medium,High-tech,Bell peppers,339674.8839,424593.6048,3778.64869,1483875.341
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Medium,High-tech,Zucchini,281400.7356,351750.9195,2775.319635,1089868.021
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Medium,High-tech,Strawberries,250206.4108,312758.0134,5519.385955,2167462.865
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Large,High-tech,Roses,323258.7795,404073.4744,6808.421733,2673667.215
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Large,High-tech,Lettuce,421628.9192,527036.149,4178.321349,1640826.794
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Large,High-tech,Spinach,424365.2872,530456.609,3950.088249,1551199.655
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Large,High-tech,Broccoli,423701.0869,529626.3587,4560.979617,1791096.696
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Large,High-tech,Basil,384040.9138,480051.1423,6558.134751,2575379.517
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Large,High-tech,Tomatoes,550609.6521,688262.0651,5789.833446,2273667.594
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Large,High-tech,Bell peppers,485249.8341,606562.2926,5373.494821,2110171.416
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Large,High-tech,Zucchini,402001.0508,502501.3136,3941.93065,1547996.166
"Miami, Florida",25.7741728,-80.19362,Plant Factory,Large,High-tech,Strawberries,357437.7297,446797.1621,7856.641458,3085303.101
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Small,Low-tech,Roses,360621.9117,360621.9117,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Small,Low-tech,Lettuce,468732.1127,468732.1127,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Small,Low-tech,Spinach,472160.9159,472160.9159,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Small,Low-tech,Broccoli,469200.002,469200.002,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Small,Low-tech,Basil,428856.0704,428856.0704,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Small,Low-tech,Tomatoes,618617.1719,618617.1719,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Small,Low-tech,Bell peppers,543590.7766,543590.7766,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Small,Low-tech,Zucchini,447116.2559,447116.2559,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Small,Low-tech,Strawberries,397300.4732,397300.4732,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Small,High-tech,Roses,364541.4987,364541.4987,43.362,9897.861841
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Small,High-tech,Lettuce,472496.8645,472496.8645,43.362,9897.861841
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Small,High-tech,Spinach,476126.5739,476126.5739,43.362,9897.861841
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Small,High-tech,Broccoli,472003.5438,472003.5438,43.362,9897.861841
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Small,High-tech,Basil,433468.5628,433468.5628,43.362,9897.861841
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Small,High-tech,Tomatoes,627563.8025,627563.8025,43.362,9897.861841
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Small,High-tech,Bell peppers,550424.3589,550424.3589,43.362,9897.861841
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Small,High-tech,Zucchini,450798.8831,450798.8831,43.362,9897.861841
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Small,High-tech,Strawberries,400327.1728,400327.1728,43.362,9897.861841
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Medium,Low-tech,Roses,631088.3454,631088.3454,0,0
